id,zlato,srebro,bron
325,0,0,0
5678,0,0,0
11163,0,0,0
1120,0,0,0
1983,0,0,0
2766,0,0,0
13070,0,0,0
452,0,0,0
3283,0,0,0
836,0,0,1
6989,0,0,0
358,1,0,0
451,0,0,0
9316,0,0,0
2505,0,0,0
8690,0,1,0
61,0,0,0
621,0,0,0
87,0,0,0
1086,0,0,0
2166,0,0,0
7356,0,0,0
704,0,0,0
250,0,0,0
1760,0,0,0
23955,0,0,0
1314,0,0,0
12339,0,0,0
7602,0,0,0
993,0,0,0
11273,1,0,0
363,1,0,0
14414,0,0,0
9799,1,0,0
14698,0,0,0
13619,0,0,0
192,0,0,0
8194,0,0,0
996,0,0,0
7613,0,0,0
7079,0,0,0
64,1,0,0
1139,0,0,0
65,0,0,0
10048,0,0,0
3702,0,0,0
4966,0,0,0
1982,0,0,0
4036,0,0,0
1154,0,0,0
2072,0,0,1
1751,0,0,0
13278,0,0,0
7355,0,0,1
1961,0,0,0
939,0,0,0
2334,0,0,0
4181,0,0,0
1935,0,0,0
2795,0,0,0
613,1,0,0
1202,0,0,0
1220,0,0,0
9778,0,0,0
13562,0,0,0
366,0,0,1
1732,0,0,0
1891,0,0,0
4739,0,0,0
11103,0,0,0
3709,0,0,0
10510,0,0,0
2308,0,0,1
651,0,0,0
495,0,0,0
12695,0,0,0
801,0,1,0
9649,0,0,0
12221,0,0,0
581,0,0,0
2096,0,0,0
32,0,0,0
10777,0,0,0
2684,0,0,0
3175,0,0,0
4179,0,0,0
51,0,0,1
1237,0,0,0
146,0,0,0
24,0,0,0
3626,0,0,0
7921,0,0,0
4649,0,0,0
984,0,0,0
2309,0,0,1
9546,0,0,0
569,0,0,0
940,0,0,0
2630,0,0,0
2784,0,0,0
2775,0,0,0
3904,0,0,0
79,1,0,1
16357,0,0,0
7231,0,0,0
86,0,0,0
10699,0,0,0
436,1,0,0
2381,0,0,0
3394,0,0,0
12215,0,0,0
821,0,0,0
1894,0,0,0
1094,0,0,0
437,0,0,0
10527,0,0,0
2597,0,0,0
11061,0,0,0
2150,0,0,0
3953,0,0,0
959,0,0,0
3345,0,0,0
7077,0,0,0
172,0,0,1
1812,0,0,0
5331,0,0,0
690,0,0,0
2652,0,0,0
371,0,0,0
4180,0,0,0
3416,0,0,0
849,0,0,0
1937,1,0,0
3873,0,0,0
2,0,0,0
230,0,0,0
209,0,0,0
3076,0,0,0
15246,0,0,0
5232,0,0,0
1037,0,0,0
1882,0,0,0
11900,0,0,1
1544,0,1,0
80,0,0,1
11509,0,0,0
2003,0,1,0
311,0,0,0
3393,0,0,0
2127,0,0,0
8503,0,0,0
16375,0,0,0
1151,0,0,0
9444,0,0,0
360,0,0,1
1128,0,0,0
9520,0,0,0
8632,0,0,0
27553,0,0,0
8020,0,0,0
1285,0,0,0
100,0,0,0
3525,0,0,0
1352,0,0,0
2137,0,0,0
2701,0,0,0
4018,1,0,0
951,1,1,0
3496,0,1,0
2146,0,0,0
564,0,0,0
582,0,0,0
520,0,0,0
19202,0,0,0
19,0,0,0
1284,0,0,0
218,0,0,0
15096,0,0,0
2130,0,0,0
568,1,0,0
535,0,0,0
1897,0,0,1
1738,0,0,0
3944,0,0,0
4225,0,0,0
124,0,0,0
608,0,0,1
607,0,0,0
1673,0,0,0
15545,0,0,0
1327,0,0,0
3884,0,0,0
2332,0,0,0
1622,0,0,0
1433,0,0,0
3330,0,0,0
2425,0,0,0
440,0,0,0
4119,0,0,0
10332,0,0,0
10992,0,0,0
2345,0,0,0
3070,0,0,0
201,0,0,0
691,0,0,0
482,0,0,0
181,0,0,0
178,0,0,0
10865,0,0,0
733,0,0,0
7072,0,0,0
3558,0,0,0
9865,0,0,0
2210,0,0,0
12582,0,0,0
34167,0,0,0
11254,0,0,0
385,2,0,0
1427,0,0,0
235,0,0,0
12074,0,0,0
969,0,0,0
1794,0,0,0
12499,0,0,0
