id,ime,drzava,tocke
14956,ADONIS Hansley,MRI,10
15669,WOLFMAN Archi,ISR,10
3369,BREITENBACH Paul,HUN,9
4773,VULEVIC Nikola,MNE,8
5237,PORTER Myles,USA,8
1990,LAREM Kacper,POL,7
2586,SPASOJEVIC Igor,SLO,6
11750,GHARBI Karim,SMR,6
3672,DIBROVA Vladyslav,UKR,6
7397,JAHIC Jadranko,BIH,6
9553,KAVTARADZE Giorgi,GEO,6
12282,PEREZ Leonardo,URU,6
18691,PEKOVIC Jovan,MNE,6
16755,SARWAR Wajahat,PAK,4
1932,HECL Radek,CZE,4
12176,PERALTA Jose,ARG,4
12625,SUMANTRI Adwin,INA,4
27306,LU Guan zhi,TPE,4
16119,GRANDA Andy,CUB,4
4151,GURULI Lasha,GEO,3
1033,DICHEV Daniel,BUL,2
2075,PESSANHA Hugo,BRA,2
7567,FLETCHER Mark,USA,2
11641,YANG Da som,KOR,2
13613,KUNSZABO Luca,ROU,2
16272,OMBOLI Renato,HUN,2
17268,RAKHIMOV Temur,TJK,2
17271,REITAN Henrik,NOR,2
19339,CALISKAN Aydn,TUR,2
21546,FAGERHILL Jonathan,SWE,2
22782,OZBETELASHVILI David,GEO,2
23306,ISHIMOV Oleg,RUS,2
25571,MEDINA Lewis,DOM,2
30237,ARICI Hasan,TUR,2
30840,MILOS Luka,CRO,2
32240,ISMAILOV Sarikhan,KGZ,2
33440,NA Risu,CHN,2
9730,BEZZINA Isaac,MLT,2
6862,KISITO Djimrambaye,CHA,2
7113,BAKHSHI Mohammad tawfiq,AFG,2
10893,SAVY Lionel,SEY,2
12863,TAKAYAWA Tevita,FIJ,2
16559,DE WINDT Reginald,CUW,2
17198,NOVA ALCANTARA Jose,DOM,2
27897,DIALLO Ousmane,MLI,2
30765,PFEFFER Stefan,RSA,2
30769,HEBA Mhd ghassan,SYR,2
31746,MBURU George,KEN,2
31907,MONTOYA Andres,COL,2
480,BOLAT Timur,KAZ,1
4338,CORDOVA Italo,CHI,1
5674,ENKHBAT Tulga,MGL,1
6832,ALBUSIRI Saud,KUW,1
10009,BITIEV David,RUS,1
11120,DAMDINSUREN Purevdorj,MGL,1
12124,RUSTAMOV Erbol,UZB,1
13631,VASKOVICIUS Martynas,LTU,1
14642,SOUZA Gabriel,BRA,1
15253,JAYNE John,USA,1
15736,BULUT Samet,TUR,1
17373,DZHALOLOV Amindzhon,TJK,1
17381,DJORDA Slobodan,SRB,1
18014,NEMSADZE Iasoni,GEO,1
18966,KRISTIC Pero,CRO,1
23549,NAZAROV Shuhrat,UZB,1
194,BATBAYAR Ariun-erdene,MGL,1
2818,TSENG Han-chien,TPE,1
